OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051FT,2024-04-21T21:06:54.389088,14.15687948,0.0103364,86.4298,64.2324,229.9306,184.306,0,U,34375,999,78217,0.0015577,3.232e-05,0
IRIDIUM 33 DEB,1997-051FU,2024-04-22T03:33:04.436064,14.46359523,0.0034108,86.2987,272.4843,37.3922,322.9644,0,U,34376,999,79450,0.0058137,0.00021075,0
IRIDIUM 33 DEB,1997-051GB,2024-04-21T22:18:36.506880,14.64653398,0.0016599,86.401,281.3736,71.0132,80.6345,0,U,34486,999,80117,0.0055695,0.00029785,0
IRIDIUM 33 DEB,1997-051GC,2024-04-21T21:23:04.788096,14.41443611,0.0030164,86.3396,270.1518,315.0112,197.5313,0,U,34487,999,79601,0.00081091,2.662e-05,0
IRIDIUM 33 DEB,1997-051GD,2024-04-21T18:30:12.200256,14.71017821,0.0016946,86.3438,226.2045,355.8548,4.2525,0,U,34488,999,80285,0.0060283,0.00037254,0
IRIDIUM 33 DEB,1997-051GE,2024-04-21T02:22:13.578528,15.044108,0.0027743,86.3803,342.1797,27.1077,333.1599,0,U,34489,999,79269,0.016199,0.00235224,0
IRIDIUM 33 DEB,1997-051GH,2024-04-21T17:58:17.043168,14.02621864,0.025359,86.4915,212.1866,342.1186,172.0543,0,U,34492,999,76576,0.0083106,0.00017049,0
IRIDIUM 33 DEB,1997-051GN,2024-04-22T00:17:15.134208,14.23467493,0.008775,86.2747,307.7122,105.3537,24.437,0,U,34497,999,78471,0.0025001,5.93e-05,0
IRIDIUM 33 DEB,1997-051GU,2024-04-21T22:47:41.067168,14.82028765,0.0018259,86.3107,193.0824,144.0315,216.214,0,U,34503,999,80492,0.011218,0.0009038,0
IRIDIUM 33 DEB,1997-051GZ,2024-04-22T03:12:21.621312,14.3079268,0.0071806,86.3787,355.212,332.7589,26.9845,0,U,34508,999,78710,0.0035098,9.479e-05,0
IRIDIUM 33 DEB,1997-051HC,2024-04-19T23:42:47.145024,14.8162096,0.0017619,86.3721,285.9764,90.7147,36.463,0,U,34511,999,79838,0.029432,0.0023989,0
IRIDIUM 33 DEB,1997-051HN,2024-04-21T12:00:48.659616,14.51337742,0.0007004,86.3791,292.2641,124.6785,235.5082,0,U,34521,999,79746,0.0040653,0.00016238,0
IRIDIUM 33 DEB,1997-051HR,2024-04-21T08:59:06.787104,14.95099009,0.001225,86.3267,249.2544,46.4953,313.7292,0,U,34524,999,79968,0.017568,0.00198041,0
IRIDIUM 33 DEB,1997-051HS,2024-04-21T23:14:00.484224,14.397493,0.0002417,86.3695,302.1372,262.8733,228.9298,0,U,34525,999,79447,0.0013802,4.342e-05,0
IRIDIUM 33 DEB,1997-051HW,2024-04-21T21:23:02.879520,14.39232707,0.0006642,86.3586,290.7431,33.0908,327.0705,0,U,34529,999,79566,0.00094516,2.949e-05,0
IRIDIUM 33 DEB,1997-051JF,2024-04-21T15:37:31.823328,14.36094749,0.0041955,86.2726,267.0338,132.7584,349.9444,0,U,34538,999,79121,0.0040281,0.0001187,0
IRIDIUM 33 DEB,1997-051JH,2024-04-21T06:47:56.712192,14.60271627,0.002421,86.3244,218.4008,84.076,305.1392,0,U,34540,999,80213,0.002732,0.00013273,0
IRIDIUM 33 DEB,1997-051JU,2024-04-21T22:03:07.412256,15.03342507,0.0016889,86.3598,266.8467,341.5324,18.5295,0,U,34643,999,79829,0.019443,0.00274615,0
IRIDIUM 33 DEB,1997-051JZ,2024-04-21T22:19:58.956672,13.96519033,0.0215193,86.411,160.7292,6.473,353.9143,0,U,34648,999,76540,0.0058782,9.898e-05,0
IRIDIUM 33 DEB,1997-051KC,2024-04-21T18:49:40.056960,14.12502323,0.0173334,86.2894,33.2554,315.8269,42.918,0,U,34651,999,77382,0.0092855,0.00019827,0
IRIDIUM 33 DEB,1997-051KD,2024-04-21T20:37:56.378784,14.53006913,0.0034696,86.3344,245.0802,163.4971,351.5191,0,U,34652,999,79897,0.0036915,0.00015392,0
IRIDIUM 33 DEB,1997-051KM,2024-04-21T12:08:42.687168,14.48898202,0.000804,86.3772,296.5572,226.9567,161.3289,0,U,34690,999,79382,0.0027567,0.00010459,0
IRIDIUM 33 DEB,1997-051KQ,2024-04-21T19:09:34.301952,14.70174888,0.0017395,86.3361,224.5856,9.1005,144.7614,0,U,34693,999,79966,0.0061246,0.00037132,0
IRIDIUM 33 DEB,1997-051KT,2024-04-21T23:42:20.316960,14.3072252,0.0116485,86.2002,297.9522,2.5204,149.598,0,U,34696,999,78047,0.0081224,0.00022955,0
IRIDIUM 33 DEB,1997-051KZ,2024-04-22T03:48:44.767008,14.79958102,0.0031462,86.3069,181.4855,203.0637,156.9174,0,U,34702,999,80568,0.0057082,0.00043734,0
IRIDIUM 33 DEB,1997-051LJ,2024-04-21T22:27:33.649632,14.3727884,0.0018233,86.3348,289.4298,36.5561,117.6978,0,U,34765,999,79067,0.0015902,4.767e-05,0
IRIDIUM 33 DEB,1997-051LS,2024-04-21T05:06:15.755904,14.892814,0.0011807,86.3907,285.1334,288.7439,71.2506,0,U,34773,999,80148,0.0087577,0.00083961,0
IRIDIUM 33 DEB,1997-051LT,2024-04-21T16:46:27.684192,15.17325363,0.0009545,86.4046,274.1943,230.3061,257.7789,0,U,34774,999,80490,0.014821,0.00308004,0
IRIDIUM 33 DEB,1997-051LU,2024-04-21T23:14:36.623616,14.6083287,0.0025698,86.3703,295.1575,202.71,316.2071,0,U,34775,999,79455,0.0094227,0.00046539,0
IRIDIUM 33 DEB,1997-051LZ,2024-04-20T09:29:23.887104,14.97058687,0.0012072,86.3512,257.4523,281.0501,140.5641,0,U,34825,999,79773,0.01276,0.00150192,0
IRIDIUM 33 DEB,1997-051MH,2024-04-21T06:28:16.590144,14.45344409,0.0019612,86.3927,308.308,304.7481,110.681,0,U,34833,999,79018,0.0018849,6.657e-05,0
IRIDIUM 33 DEB,1997-051MP,2024-04-20T10:34:36.892992,15.33271932,0.0011217,86.4278,2.3242,39.0926,321.1133,0,U,34869,999,78768,0.04483,0.01579612,0
